BILL OF MATERIALS (BOM) for Little Helper:,,,,,,
"This is the BOM for the V1 of the file, and as such it does not have autonomous capabilites. The parts listed here can be customised to your preference.",,,,,,
,,,,,,
Serial Number,Item Name,Item Description/Link,Price Per Unit,Qty,Total Price (With tax),Notes:
32,M3*30mm Screw,https://onlyscrews.in/products/m3-x-30mm-hex-allen-socket-head-ss-304-screw-dia-3mm-length-30mm?_pos=1&_psq=m3*30mm&_ss=e&_v=1.0,6,4,24,
33,M3*25mm Screw,https://onlyscrews.in/products/m3-x-25mm-phillips-csk-ss-304-screw,2.4,8,19.2,
34,M5*16mm,https://onlyscrews.in/products/phillips-csk-m5-x-16mm-pack-of-20,2.4,16,38.4,
,,,,,0,
SUGGESTED TOOLS (INCLUDING SOFTWARE):,,(Not calculated into cost),,,0,
,,,,,0,
35,Screwdriver Phillips Head,,,1,0,As per your convenience choose whatever tools you require.
36,Allen Key Set,,,1,0,
37,Soldering Iron,,,1,0,
38,Drill (Should work on plastic),,,1,0,
39,3D printer/CNC/Woodworking tools,,,,0,
40,Arduino IDE,,,,0,
41,Modules specified in code,,,,0,
42,Some 3D CAD software,,,,0,
43,Wire strippers and cutters,,,,0,
,,,,,0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,Total Price :,INR,20197.2,,
,,,,,,
